2026-06-22 16:52:48.206 | INFO     | __main__:main:93 | Use saved data: False
2026-06-22 16:52:50.384 | INFO     | __main__:main:110 | 2th
2026-06-22 16:52:56.458 | INFO     | __main__:main:110 | 3th
2026-06-22 16:53:09.332 | INFO     | __main__:main:110 | 4th
2026-06-22 16:53:19.266 | INFO     | __main__:main:110 | 4th
2026-06-22 16:53:28.585 | INFO     | __main__:main:110 | 4th
2026-06-22 16:53:35.413 | INFO     | __main__:main:110 | 4th
2026-06-22 16:53:59.560 | INFO     | __main__:main:110 | 4th
2026-06-22 16:54:03.243 | INFO     | __main__:main:110 | 4th
2026-06-22 16:54:26.272 | INFO     | __main__:main:110 | 4th
2026-06-22 16:54:29.819 | INFO     | __main__:main:110 | 4th
2026-06-22 16:54:36.900 | INFO     | __main__:main:110 | 4th
2026-06-22 17:20:51.036 | INFO     | __main__:main:219 | Loaded 4 existing sample slots. Next sample index: 4
2026-06-22 17:20:58.557 | INFO     | __main__:save_sample:73 | Saved sample 4: ./data/rgb_4.png
2026-06-22 17:21:55.026 | INFO     | __main__:save_sample:73 | Saved sample 5: ./data/rgb_5.png
2026-06-22 17:22:38.326 | INFO     | __main__:save_sample:73 | Saved sample 6: ./data/rgb_6.png
2026-06-22 17:23:21.974 | INFO     | __main__:save_sample:73 | Saved sample 7: ./data/rgb_7.png
2026-06-22 17:23:55.008 | INFO     | __main__:save_sample:73 | Saved sample 8: ./data/rgb_8.png
2026-06-22 17:24:40.133 | INFO     | __main__:save_sample:73 | Saved sample 9: ./data/rgb_9.png
2026-06-22 17:24:55.935 | INFO     | __main__:save_sample:73 | Saved sample 10: ./data/rgb_10.png
2026-06-22 17:25:44.590 | INFO     | __main__:save_sample:73 | Saved sample 11: ./data/rgb_11.png
2026-06-22 17:26:09.502 | INFO     | __main__:save_sample:73 | Saved sample 12: ./data/rgb_12.png
2026-06-22 17:26:21.605 | INFO     | __main__:save_sample:73 | Saved sample 13: ./data/rgb_13.png
2026-06-22 17:26:43.666 | INFO     | __main__:save_sample:73 | Saved sample 14: ./data/rgb_14.png
2026-06-22 17:27:09.139 | INFO     | __main__:save_sample:73 | Saved sample 15: ./data/rgb_15.png
2026-06-22 17:42:27.314 | INFO     | __main__:main:219 | Loaded 16 existing sample slots. Next sample index: 16
2026-06-22 17:43:13.724 | INFO     | __main__:main:93 | Use saved data: True
2026-06-22 17:43:13.725 | INFO     | __main__:main:110 | 0th
2026-06-22 17:43:14.285 | INFO     | __main__:main:110 | 1th
2026-06-22 17:43:14.818 | INFO     | __main__:main:110 | 2th
2026-06-22 17:43:15.340 | INFO     | __main__:main:110 | 3th
2026-06-22 17:43:15.922 | INFO     | __main__:main:110 | 4th
2026-06-22 17:43:16.492 | INFO     | __main__:main:110 | 5th
2026-06-22 17:43:17.061 | INFO     | __main__:main:110 | 6th
2026-06-22 17:43:17.622 | INFO     | __main__:main:110 | 7th
2026-06-22 17:43:18.143 | INFO     | __main__:main:110 | 8th
2026-06-22 17:43:18.666 | INFO     | __main__:main:110 | 9th
2026-06-22 17:43:19.192 | INFO     | __main__:main:110 | 10th
2026-06-22 17:43:19.716 | INFO     | __main__:main:110 | 11th
2026-06-22 17:43:20.228 | INFO     | __main__:main:110 | 12th
2026-06-22 17:43:20.750 | INFO     | __main__:main:110 | 13th
2026-06-22 17:43:21.276 | INFO     | __main__:main:110 | 14th
2026-06-22 17:43:21.795 | INFO     | __main__:main:110 | 15th
2026-06-22 17:43:22.318 | INFO     | __main__:main:110 | 16th
2026-06-22 17:44:16.336 | INFO     | __main__:main:93 | Use saved data: True
2026-06-22 17:44:16.336 | INFO     | __main__:main:110 | 0th
2026-06-22 17:44:16.933 | INFO     | __main__:main:110 | 1th
2026-06-22 17:44:17.508 | INFO     | __main__:main:110 | 2th
2026-06-22 17:44:18.078 | INFO     | __main__:main:110 | 3th
2026-06-22 17:44:18.621 | INFO     | __main__:main:110 | 4th
